Hospital,Tender Reference,Subject,Tendering Procedure,Contractor(s) & Address(es),Item,Contract Period,Estimated Contract Amount,Date of Award
Hospital Authority Head Office,NPS23-001,"Supply of Metal/Expandable Stents, ESD Knifes, Endoscopic  Urological Dilators and Balloon Fitted Overtube for Endoluminal Procedures  (excluding Endovascular & Cardiothoracic) under Nominated Product Scheme  for Hospital Authority",Open,"Medical Distributor Alliance Ltd  Rm 401, 4/F, Magnet Place Tower 1, 77 Container Port Rd,  Kwai Chung, NT",-,1 March 2024  -28 February 2026,-,22-December-2023
Hospital Authority Head Office,NPS23-001,"Supply of Metal/Expandable Stents, ESD Knifes, Endoscopic  Urological Dilators and Balloon Fitted Overtube for Endoluminal Procedures  (excluding Endovascular & Cardiothoracic) under Nominated Product Scheme  for Hospital Authority",Open,"Olympus HK & China Ltd  26 / F, Tower A, Kowloon Commerce Centre, No. 51 Kwai Cheong Road, Kwai  Chung, NT",-,1 March 2024  -28 February 2026,-,22-December-2023
Hospital Authority Head Office,NPS23-001,"Supply of Metal/Expandable Stents, ESD Knifes, Endoscopic  Urological Dilators and Balloon Fitted Overtube for Endoluminal Procedures  (excluding Endovascular & Cardiothoracic) under Nominated Product Scheme  for Hospital Authority",Open,"Pacific Medical (HK) Co LtdUnit 2, 5/F, Perfect Ind Bldg,  31 Tai Yau Street,  San Po Kong, Kowloon",-,1 March 2024  -28 February 2026,-,22-December-2023
Hospital Authority Head Office,NPS23-001,"Supply of Metal/Expandable Stents, ESD Knifes, Endoscopic  Urological Dilators and Balloon Fitted Overtube for Endoluminal Procedures  (excluding Endovascular & Cardiothoracic) under Nominated Product Scheme  for Hospital Authority",Open,"Proview HK Ltd  Unit 21, 27/F, New Tech Plaza, 34 Tai Yau Street,  San Po Kong, Kowloon",-,1 March 2024  -28 February 2026,-,22-December-2023
Hospital Authority Head Office,NPS23-001,"Supply of Metal/Expandable Stents, ESD Knifes, Endoscopic  Urological Dilators and Balloon Fitted Overtube for Endoluminal Procedures  (excluding Endovascular & Cardiothoracic) under Nominated Product Scheme  for Hospital Authority",Open,"Rapport Medical Science Ltd  Room 807A, 8/F, Shiu Fat IND BLDG,  139-141 Wai Yip Street, Kwun Tong, Kowloon",-,1 March 2024  -28 February 2026,-,22-December-2023
Hospital Authority Head Office,NPS23-001,"Supply of Metal/Expandable Stents, ESD Knifes, Endoscopic  Urological Dilators and Balloon Fitted Overtube for Endoluminal Procedures  (excluding Endovascular & Cardiothoracic) under Nominated Product Scheme  for Hospital Authority",Open,"Rico Medical (HK) Ltd  Unit L, 6/F, High Win Ind Bldg  47 Hoi Yuen Road  Kwun Tong, Kln",-,1 March 2024  -28 February 2026,-,22-December-2023
Hospital Authority Head Office,NPS23-001,"Supply of Metal/Expandable Stents, ESD Knifes, Endoscopic  Urological Dilators and Balloon Fitted Overtube for Endoluminal Procedures  (excluding Endovascular & Cardiothoracic) under Nominated Product Scheme  for Hospital Authority",Open,"Welmed Co Ltd  9B Por Yen Bldg  478 Castle Peak Rd  Cheung Sha Wan, Kln",-,1 March 2024  -28 February 2026,-,22-December-2023
Hong Kong East Cluster,1110492044,"Provision of Integrated Mental Health Programme (IMHP) for  General Out-patient Clinics (GOPCs) of Hong Kong East Cluster, Hospital  Authority",Open,"St James’ Settlement  9/F, 85 Stone Nullah Lane,  Wanchai, Hong Kong",-,8 March 2024 - 7 March 2027,HKD3.7Mn,22-December-2023
Hospital Authority Head Office,HAHO(S)/T/23-G006,Supply of Insulin Syringe for Hospital Authority,Open,"Standard Medi-Tech Sources Ltd.  Unit B, 23/F., Kingsford Ind. Bldg.  26-32 Kwai Hei Street  Kwai Chung, New Territories  Hong Kong",-,1 April 2024 - 31 March 2027,HKD1.98Mn,22-December-2023
Hospital Authority Head Office,HAHO(S)/T/22-G032,Supply of Jar Receiver Liners for Hospital Authority,Open,"Zuellig Pharma Limited  Suite 608, 6/F, Devon House, Taikoo Place, Quarry Bay, Hoong Kong",-,1 March 2024 - 28 February 2027,HKD13.57Mn,22-December-2023
Hospital  Authority Head Office,HAHO(S)/T/23-S015,Provision of Audio-Visual  Production and Live Streaming Services for the Hospital Authority Convention  2024,Open,"NOVA Dynamic Media Company  Limited  Room 6, 11/F  One Midtown, 11 Hoi Shing Road Tsuen Wan  Hong Kong",-,from 1 January 2024 and  expire upon satisfactory fulfillment of contractual obligation,HKD1.12Mn,22-December-2023
Hong Kong West Cluster,HKWC-Q189/23(B),"Provision of Maintenance Service for Medical Gas Pipeline  Systems for Hong Kong West Cluster, Hospital Authority",Open,"Linde HKO Limited  12 Chun Yat Street, Tseung Kwan O Industrial Estate, Kowloon  Hong Kong",,1 January 2024 - 31 December 2024,HKD0.55Mn,28-December-2023
Hospital Authority Head Office,HAHO(S)/T/23-D042,Supply of Actifed Compound (or equivalent) Syrup,Open,"Pharmason Company Limited 16/F, Ever Gain Centre  28 On Muk Street  Shatin, Hong Kong",-,1 April 2024  - 31 March 2027,HKD$9.77Mn,29-December-2023
Hospital Authority Head Office,HAHO(S)/T/23-D043,Supply of Dried Aluminium Hydroxide Compound Tablet,Open,"Zuellig Pharma Limited  5/F, Berkshire House,  Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,8 May 2024  - 7 May 2027,HKD$9.56Mn,29-December-2023
Hospital Authority Head Office,HAHO(S)/T/23-D082,Supply of Nusinersen (Sodium) Intrathecal Injection 12mg,Limited  (Purchase of products under patents or copyrights coverage),"Zuellig Pharma Limited  5/F, Berkshire House,  Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,1 April 2024 - 31 March 2027,HKD$136.11Mn,29-December-2023
Hospital Authority Head Office,HAHO(S)/T/23-D084,Supply of Cocillana Compound Syrup,Open,"Pharmason Company Limited 16/F, Ever Gain Centre  28 On Muk Street  Shatin, Hong Kong",-,1 August 2024  - 31 July 2027,HKD$44.91Mn,29-December-2023
Hospital Authority Head Office,HAHO(S)/T/23-D086,Supply of Edoxaban (Tosilate) Tablets,Open,"Zuellig Pharma Limited  5/F, Berkshire House,  Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,15 February 2024  - 14 February 2027,HKD$48.38Mn,29-December-2023
Hospital Authority Head Office,DSQ23-068,Supply of Diclofenac Diethylamine Gel 1.16% 20g,Limited  (Extreme urgency requirement to meet operational need),"Zuellig Pharma Limited  5/F, Berkshire House,  Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,26 February 2024  - 25 February 2026,HKD$3.00Mn,29-December-2023
Hospital Authority Head Office,HAHO(S)/T/22-D235,Supply of Emtricitabine and Tenofovir Alafenamide (Fumarate)  Tablets,Limited  (Purchase of products under patents or copyrights coverage),"DCH Auriga (Hong Kong) Limited – Healthcare Division  11/F Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, Hong Kong",-,13 March 2024 - 12 March 2027,HKD98.25Mn,29-December-2023
Hospital Authority Head Office,HAHO(S)/T/23-D118,Supply of Panitumumab Infusion 100mg,Limited  (Absence of competition for technical reasons),"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,20 March 2024  -19 March 2027,HKD58.75Mn,29-December-2023
Hospital Authority Head Office,HAHO(S)/T/23-D050,Supply of Alectinib Capsule 150mg,Limited  (Purchase of products under patents or copyrights coverage),"DKSH Hong Kong Limited  23/F, Tower A, Southmark  11 Yip Hing Street  Wong Chuk Hang, Hong Kong",-,9 April 2024  - 8 April 2027,HKD323.75Mn,29-December-2023
Hospital Authority Head Office,DSQ23-045,Supply of Ruxolitinib (Phosphate) Tablet 5mg,Limited  (Purchase of products under patents or copyrights coverage),"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,27 January 2024  -26 January 2026,HKD58.50Mn,29-December-2023
Hospital Authority Head Office,DSQ23-048,Supply of Ixazomib (Citrate) Capsule 2.3mg,Limited  (Purchase of products under patents or copyrights coverage),"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,11 January 2024  - 10 January 2026,HKD12.80Mn,29-December-2023
Hospital Authority Head Office,DSQ23-050,Supply of Cabazitaxel Infusion 40mg/ml 1.5ml,Limited  (Purchase of products under patents or copyrights coverage),"DCH Auriga (Hong Kong) Limited – Healthcare Division  11/F Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, Hong Kong",-,1 February 2024  -31 January 2026,HKD9.60Mn,29-December-2023
Hospital Authority Head Office,DSQ23-051,Supply of Cabozantinib ((S)-Malate) (Cabometyx) Tablet 20mg,Limited  (Purchase of products under patents or copyrights coverage),"DCH Auriga (Hong Kong) Limited – Healthcare Division  11/F Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, Hong Kong",-,2 January 2024  - 1 January 2026,HKD7.95Mn,29-December-2023
Hospital Authority Head Office,DSQ23-100,Supply of Ripretinib Tablet 50mg,Limited  (Purchase of products under patents or copyrights coverage),"DCH Auriga (Hong Kong) Limited – Healthcare Division  11/F Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, Hong Kong",-,9 January 2024  -8 January 2026,HKD7.60Mn,29-December-2023
Hospital Authority Head Office,HAHO(S)/T/21-D242,Supply of Levobupivacaine Injection 50mg,Open,"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place  25 Westlands Road  Quarry Bay, Hong Kong",-,1 July 2024  - 30 June 2027,HKD8.01Mn,29-December-2023
Hospital Authority Head Office,HAHO(S)/T/22-D188,Supply of Methylphenidate Hydrochloride Modified Release Capsule  10mg,Open,"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place  25 Westlands Road  Quarry Bay, Hong Kong",-,18 March 2024  - 17 March 2027,HKD14.60Mn,29-December-2023
Hospital Authority Head Office,DST23-012,Supply of Trifluoperazine (Hydrochloride) Tablet 1mg,Open,"Hind Wing Company Limited  Unit 1103B, 11th Floor, Block B, Seaview Estate, 2-8 Watson Road, North Point, Hong Kong",-,1 March 2024  - 28 February 2025,HKD3.00Mn,29-December-2023
Hospital Authority Head Office,DSQ23-091,Supply of Pizotifen Hydrogen Malate Tablet 0.5mg,Limited  (Extreme urgency requirement to meet operational need),"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place  25 Westlands Road  Quarry Bay, Hong Kong",-,29 March 2024 - 28 March 2026,HKD2.13Mn,29-December-2023
Hospital Authority Head Office,DST23-020,Supply of Liquid Paraffin 50% + White Soft Paraffin 50% Ointment,Open,"Luen Cheong Hong Limited  25/F Pearl Oriental Center  200 Gloucester Road  Wan Chai, Hong Kong",-,17 March 2024  - 16 March 2025,HKD1.89Mn,29-December-2023
Hospital Authority Head Office,DSQ23-072,Supply of Chlorhexidine Gluconate 0.5% In 70% Ethanol  Disinfectant Solution 500ml,Limited  (Extreme urgency requirement to meet operational need),"DCH Auriga (Hong Kong) Limited-Healthcare Division  11/F Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, Hong Kong",-,19 February 2024  - 18 February 2026,HKD1.25Mn,29-December-2023
Hospital Authority Head Office,HAHO(S)/T/22-D233,Supply of Clostridiopeptidase A Ointment,Open,"Smith & Nephew Limited  Unit 813-818, 8/F  Delta House, 3 On Yiu Street Sha Tin, New Territories",-,16 April 2024  - 15 April 2027,HKD7.34Mn,29-December-2023
Hospital Authority Head Office,DST23-028,Supply of Piperacillin and Tazobactam for Injection,Open,"Jindun Pharma (H.K.) Limited Rm.602, 6/F	Cheung Tat Centre, 18 Cheung Lee Street Chai Wan, Hong Kong",-,31 January 2024  - 30 April 2024,HKD9.10Mn,29-December-2023
Kowloon East Cluster,KEC/ADM/CONF/P&S/03/001/2324,"Provision of Convenience Store Service for Tseung Kwan O  Hospital of Kowloon East Cluster, Hospital Authority",Open,"The Dairy Farm Company Limited  5/F Devon House, Tai Koo Place, 979 King's Road, Quarry Bay, Hong Kong",-,1 January 2024 - 31 December 2026,HKD3.42Mn,1-November-2023
Kowloon East Cluster,KEC/ADM/CONF/P&S/01/018/2223,"Supply and Installation of Lasers, Ho-YAG, Surgical for  Operating Theatre of United Christian Hospital, Kowloon East Cluster,  Hospital Authority",Open,"Boston Scientific Hong Kong Limited  Suite 2601-02 & 09-11, 26/F, Dorset House, Taikoo Place,  979 King's Road, Quarry Bay, Hong Kong.",-,1 November 2023 - 31 October 2024,HKD1.85Mn,1-November-2023
Kowloon East Cluster,KEC/ADM/CONF/P&S/01/024/2223,"Supply and Installation of Scanning Systems, Ultrasonic,  General-Purpose for Radiology & Organ Imaging Department of United  Christian Hospital, Kowloon East Cluster, Hospital Authority",Open,"Philips Electronics Hong Kong Limited  Level 19, Tower I, Grand Century Place,  193 Prince Edward Road West, Mongkok, Hong Kong",-,1 November 2023 - 31 October 2026,HKD2.99Mn,1-November-2023
Hospital Authority Head Office,HAHO(S)/T/22-D161,Supply of Polyethylene Glycol 400 and Propylene Glycol Eye Drops,Open,"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong  Kong",-,21 January 2024  - 20 January 2027,HKD18.12Mn,2-November-2023
Hospital Authority Head Office,HAHO(S)/T/23-D012,Supply of Sodium Bicarbonate Intravenous Infusion,Open,"DKSH Hong Kong Limited  23/F Tower A, Southmark, 11 Yip Hing Street, Wong Chuk Hang, Hong Kong",-,16 March 2024  - 15 March 2027,HKD4.81Mn,2-November-2023
Hospital Authority Head Office,HAHO(S)/T/23-D028,Supply of Ferric Hydroxide Polymaltose Complex Chewable Tablet  100mg,Open,"Hong Kong Medical Supplies Limited  7/F China Aerospace Centre, 143 Hoi Bun Road, Kwun Tong, Kowloon",-,23 May 2024  - 22 May 2027,HKD19.93Mn,2-November-2023
Hospital Authority Head Office,HAHO(S)/T/23-D035,Supply of Normal Immunoglobulin Injection,Open,"Primal Chemical Company Limited Room A, 7/F, Hoi Bun Ind. Bldg., 6 Wing Yip St., Kwun Tong, Hong Kong",-,15 May 2024  - 14 May 2027,HKD146.11Mn,2-November-2023
Hospital Authority Head Office,DST23-007,Supply of Polyethylene Glycol Electrolyte Powder,Open,"DCH Auriga (Hong Kong) Limited-Healthcare Division  11/F Wyler Centre 1, 202-210 Tai Lin Pai Road, Kwai Chung, Hong Kong",-,3 April 2024  - 2 April 2025,HKD3.96Mn,2-November-2023
Hospital Authority Head Office,DSQ23-078,Supply of Trientine Dihydrochloride Capsule 300mg,Limited  (Extreme urgency requirement to meet operational need),"Link Healthcare Hong Kong Limited  Unit 16, Floor 12, Corporation Square, 8 Lam Lok Street, Kowloon Bay,  Kowloon, Hong Kong",-,25 January 2024  - 24 January 2026,HKD21.50Mn,2-November-2023
Hospital Authority Head Office,DQ23-204,"Supply of Factor IX, Human, Purified Injection 500 IU",Limited  (Extreme urgency requirement to meet operational need),"DKSH Hong Kong Limited  23/F Tower A, Southmark, 11 Yip Hing Street, Wong Chuk Hang, Hong Kong",-,2 November 2023  - 1 March 2024,HKD2.11Mn,2-November-2023
Hospital Authority Head Office,HAHO(S)/T/22-D234,Supply of Dasatinib Tablets,Limited  (Purchase of products under patents or copyrights coverage),"DKSH Hong Kong Limited  23/F, Tower A, Southmark  11 Yip Hing Street  Wong Chuk Hang, Hong Kong",-,3 December 2023  -2 December 2025,HKD64.47Mn,2-November-2023
Hospital Authority Head Office,DST23-017,Supply of Triptorelin Injection 3.75mg,Open,"DCH Auriga (Hong Kong) Limited – Healthcare Division  11/F Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, Hong Kong",-,18 April 2024  -17 January 2025,HKD3.80Mn,2-November-2023
Hospital Authority Head Office,DSQ22-261,Supply of Ceritinib Capsule 150mg,Limited  (Purchase of products under patents or copyrights coverage),"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,15 November 2023  - 14 November 2025,HKD2.45Mn,2-November-2023
Hospital Authority Head Office,DSQ22-262,Supply of Epclusa (or equiv) Tablet 400mg/100mg,Limited  (Purchase of products under patents or copyrights coverage),"DCH Auriga (Hong Kong) Limited – Healthcare Division  11/F Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, Hong Kong",-,2 November 2023  - 1 November 2025,HK$64.48,2-November-2023
Hospital Authority Head Office,DSQ22-263,Supply of Durvalumab Infusion 500mg/10ml,Limited  (Purchase of products under patents or copyrights coverage),"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,27 November 2023  - 26 November 2025,HK$15.24,2-November-2023
Hospital Authority Head Office,DSQ22-264,Supply of Ixazomib Capsule 3mg,Limited  (Purchase of products under patents or copyrights coverage),"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,5 November 2023  -4 November 2025,HK$22.40,2-November-2023
Hospital Authority Head Office,DSQ23-013,Supply of Brentuximab Vedotin Infusion 50mg,Limited  (Purchase of products under patents or copyrights coverage),"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,28 December 2023  - 27 December 2025,HK$33.32,2-November-2023
Hospital Authority Head Office,DSQ23-014,Supply of Ruxolitinib (Phosphate) Tablet 20mg,Limited  (Purchase of products under patents or copyrights coverage),"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,15 December 2023  -14 December 2025,HKD26.86Mn,2-November-2023
Hospital Authority Head Office,DSQ23-017,Supply of Melphalan HCl Injection 50mg,Limited  (Extreme urgency requirement to meet operational need),"Primal Chemical Company Limited  Flat A, 7/F, Hoi Bun Industrial Building  6 Wing Yip Street  Kwun Tong, Kowloon, Hong Kong",-,25 December 2023  -24 December 2025,HKD6.80Mn,2-November-2023
